Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
93,"[0.775174, -0.176728]",[0.270419],"[-0.000315, 1.099733]",[Int64[]],4.8e-5,Motor dettached
94,"[0.775173, -0.176726]",[0.270419],"[-0.000311, 1.099727]",[Int64[]],3.7e-5,Motor dettached
95,"[0.775173, -0.176725]",[0.270419],"[-0.000307, 1.099722]",[Int64[]],2.9e-5,Motor dettached
96,"[0.775173, -0.176724]",[0.270419],"[-0.000304, 1.099719]",[Int64[]],2.3e-5,Motor dettached
97,"[0.775173, -0.176723]",[0.270419],"[-0.000302, 1.099716]",[Int64[]],1.8e-5,Motor dettached
98,"[0.775173, -0.176723]",[0.270419],"[-0.0003, 1.099714]",[Int64[]],1.4e-5,Motor dettached
99,"[0.775173, -0.176722]",[0.270419],"[-0.000299, 1.099712]",[Int64[]],1.1e-5,Motor dettached
100,"[0.775173, -0.176722]",[0.270419],"[-0.000298, 1.099711]",[Int64[]],8.0e-6,Motor dettached
101,"[0.775172, -0.176722]",[0.270419],"[-0.000297, 1.09971]",[Int64[]],7.0e-6,Motor dettached
102,"[0.775172, -0.176722]",[0.270419],"[-0.000296, 1.099709]",[Int64[]],5.0e-6,Motor dettached
103,"[0.775172, -0.176721]",[0.270419],"[-0.000296, 1.099708]",[Int64[]],4.0e-6,Motor dettached
104,"[0.775172, -0.176721]",[0.270419],"[-0.000295, 1.099708]",[Int64[]],3.0e-6,Motor dettached
105,"[0.775172, -0.176721]",[0.270419],"[-0.000295, 1.099707]",[Int64[]],2.0e-6,Motor dettached
106,"[0.775172, -0.176721]",[0.270419],"[-0.000295, 1.099707]",[Int64[]],2.0e-6,Motor dettached
107,"[0.775172, -0.176721]",[0.270419],"[-0.000295, 1.099707]",[Int64[]],1.0e-6,Motor dettached
108,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099707]",[Int64[]],1.0e-6,Motor dettached
109,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099707]",[Int64[]],1.0e-6,Motor dettached
110,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],1.0e-6,Motor dettached
111,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],1.0e-6,Motor dettached
112,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
113,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
114,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
115,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
116,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
117,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
118,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
119,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
120,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
121,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
122,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
123,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
124,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
125,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
126,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
127,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
128,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
129,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
130,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
131,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
132,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
133,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
134,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
135,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
136,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
137,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
138,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
139,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
140,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
141,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
142,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
143,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
144,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
145,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
146,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
147,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
148,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
149,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
150,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
151,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
152,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
153,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
154,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
155,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
156,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
157,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
158,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
159,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
160,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
161,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
162,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
163,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
164,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
165,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
166,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
167,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
168,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
169,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
170,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
171,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
172,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
173,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
174,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
175,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
176,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
177,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
178,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
179,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
180,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
181,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
182,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
183,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
184,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
185,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
186,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
187,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
188,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
189,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
190,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
191,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
192,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
193,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
194,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
195,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
196,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
197,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
198,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
199,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
200,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
201,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
202,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
203,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
204,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
205,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
206,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
207,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
208,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
209,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
210,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
211,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
212,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
213,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
214,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
215,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
216,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
217,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
218,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
219,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
220,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
221,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
222,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
223,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
224,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
225,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
226,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
227,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
228,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
229,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
230,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
231,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
232,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
233,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
234,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
235,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
236,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
237,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
238,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
239,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
240,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
241,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
242,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
243,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
244,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
245,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
246,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
247,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
248,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
249,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
250,"[0.775172, -0.176721]",[0.270419],"[-0.000294, 1.099706]",[Int64[]],0.0,Motor dettached
