Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
112,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
113,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
114,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
115,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
116,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
117,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
118,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
119,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
120,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
121,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
122,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
123,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
124,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
125,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
126,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
127,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
128,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
129,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
130,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
131,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
132,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
133,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
134,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
135,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
136,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
137,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
138,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
139,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
140,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
141,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
142,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
143,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
144,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
145,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
146,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
147,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
148,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
149,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
150,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
151,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
152,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
153,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
154,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
155,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
156,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
157,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
158,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
159,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
160,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
161,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
162,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
163,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
164,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
165,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
166,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
167,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
168,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
169,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
